hop,ip,rtts_ms,avg_rtt_ms,min_rtt_ms,max_rtt_ms,is_private,cidr_24,cidr_16,subnet_boundary_from_prev,boundary_reason,latency_jump_from_prev_ms
1,10.239.0.1,"82.0,45.0",63.50,45.00,82.00,True,10.239.0.0/24,10.239.0.0/16,False,,
2,128.197.254.132,"7.0,4.0,6.0",5.67,4.00,7.00,False,128.197.254.0/24,128.197.0.0/16,True,major_prefix_change_/16,-57.83
3,128.197.254.118,"30.0,7.0,5.0",14.00,5.00,30.00,False,128.197.254.0/24,128.197.0.0/16,False,,8.33
4,18.2.128.201,"44.0,10.0,14.0",22.67,10.00,44.00,False,18.2.128.0/24,18.2.0.0/16,True,major_prefix_change_/16,8.67
5,198.71.47.57,"16.0,14.0,12.0",14.00,12.00,16.00,False,198.71.47.0/24,198.71.0.0/16,True,major_prefix_change_/16,-8.67
6,163.253.1.44,"16.0,15.0,19.0",16.67,15.00,19.00,False,163.253.1.0/24,163.253.0.0/16,True,major_prefix_change_/16,2.67
7,163.253.1.116,"22.0,16.0,23.0",20.33,16.00,23.00,False,163.253.1.0/24,163.253.0.0/16,False,,3.67
8,163.253.1.133,"25.0,13.0,13.0",17.00,13.00,25.00,False,163.253.1.0/24,163.253.0.0/16,False,,-3.33
9,72.14.209.106,"14.0,14.0",14.00,14.00,14.00,False,72.14.209.0/24,72.14.0.0/16,True,major_prefix_change_/16,-3.00
10,192.178.248.17,"19.0,25.0,24.0",22.67,19.00,25.00,False,192.178.248.0/24,192.178.0.0/16,True,major_prefix_change_/16,8.67
11,192.178.248.40,"14.0,19.0,28.0",20.33,14.00,28.00,False,192.178.248.0/24,192.178.0.0/16,False,,-2.33
12,72.14.233.183,"16.0,15.0,17.0",16.00,15.00,17.00,False,72.14.233.0/24,72.14.0.0/16,True,major_prefix_change_/16,-4.33
13,,,,,,,,,False,,
14,,,,,,,,,False,,
15,,,,,,,,,False,,
16,,,,,,,,,False,,
17,,,,,,,,,False,,
18,,,,,,,,,False,,
19,108.170.234.39,"83.0,111.0,124.0",106.00,83.00,124.00,False,108.170.234.0/24,108.170.0.0/16,True,major_prefix_change_/16,90.00
20,64.233.175.71,"73.0,73.0,84.0",76.67,73.00,84.00,False,64.233.175.0/24,64.233.0.0/16,True,major_prefix_change_/16,-29.33
